City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,tuktoyaktuk,69.4541,-133.0374,-27.0,63,20,6.69,CA,1670380745
198,victoria,22.2855,114.1577,20.69,73,35,2.68,HK,1670380607
199,nan,18.8333,100.6667,22.01,88,0,1.03,TH,1670380746
200,trincomalee,8.5711,81.2335,26.2,79,100,6.95,LK,1670380746
201,siddipet,18.1,78.85,20.57,55,65,3.67,IN,1670380747
202,koscierzyna,54.1223,17.9812,0.84,95,100,3.74,PL,1670380748
203,kitimat,54.0524,-128.6534,1.62,26,100,1.73,CA,1670380748
204,yumen,40.2833,97.2,-7.35,76,91,2.89,CN,1670380749
205,norman wells,65.282,-126.8329,-31.98,68,75,0.0,CA,1670380749
206,skagen,57.7209,10.5839,2.65,66,100,5.42,DK,1670380750
207,sinyavskoye,47.277,39.2789,-5.69,65,53,8.1,RU,1670380751
208,kaeo,-35.1,173.7833,17.4,94,100,9.26,NZ,1670380751
209,puerto escondido,15.85,-97.0667,26.46,69,20,1.54,MX,1670380752
210,saint-nazaire,47.2833,-2.2,5.99,75,100,6.17,FR,1670380753
211,hithadhoo,-0.6,73.0833,27.78,75,84,5.54,MV,1670380754
212,bahia blanca,-38.7196,-62.2724,19.6,49,0,2.68,AR,1670380754
213,maragogi,-9.0122,-35.2225,24.28,84,19,1.75,BR,1670380755
214,male,4.1748,73.5089,27.97,83,75,2.57,MV,1670380756
215,montauban,44.0833,1.5,8.25,58,100,0.99,FR,1670380757
216,grindavik,63.8424,-22.4338,-0.03,93,40,3.6,IS,1670380757
217,japura,-0.3167,102.35,27.55,83,94,0.99,ID,1670380758
218,buala,-8.145,159.5921,28.87,73,93,1.56,SB,1670380759
219,veraval,20.9,70.3667,22.32,51,1,5.18,IN,1670380759
220,gorom-gorom,14.4439,-0.2361,24.61,18,47,3.85,BF,1670380760
221,oranjemund,-28.55,16.4333,13.28,92,2,2.08,NA,1670380761
222,chokurdakh,70.6333,147.9167,-21.17,98,100,1.74,RU,1670380761
223,manaus,-3.1019,-60.025,26.27,89,0,0.0,BR,1670380762
224,cap malheureux,-19.9842,57.6142,24.7,76,2,2.68,MU,1670380762
225,souillac,-20.5167,57.5167,23.21,94,75,1.54,MU,1670380763
226,rongcheng,30.634,117.8517,8.88,81,100,0.93,CN,1670380763
227,tilichiki,60.4667,166.1,-10.16,80,97,2.65,RU,1670380764
228,santa rosa,14.3122,121.1114,31.16,67,52,4.5,PH,1670380600
229,ilinskiy,55.619,38.1182,-9.71,81,49,4.11,RU,1670380765
230,tevaitoa,-16.7833,-151.5,26.82,75,27,7.85,PF,1670380766
231,iskateley,67.6803,53.1512,-9.46,95,100,6.24,RU,1670380766
232,isangel,-19.55,169.2667,29.47,69,100,2.48,VU,1670380572
233,melenki,55.3343,41.6295,-11.28,79,55,3.42,RU,1670380767
234,killybegs,54.6333,-8.45,5.58,73,98,2.77,IE,1670380767
235,shipley,53.8333,-1.7667,2.39,87,23,2.24,GB,1670380769
236,banda aceh,5.5577,95.3222,24.62,88,100,3.86,ID,1670380769
237,sobolevo,54.4299,31.8996,-9.63,82,99,5.81,RU,1670380770
238,auki,-8.7676,160.7034,28.23,77,60,0.38,SB,1670380771
239,port lincoln,-34.7333,135.8667,17.86,57,53,8.81,AU,1670380771
240,marsh harbour,26.5412,-77.0636,23.95,67,8,6.55,BS,1670380772
241,teguise,29.0605,-13.564,15.12,94,0,2.06,ES,1670380298
242,vestmannaeyjar,63.4427,-20.2734,0.88,70,17,8.56,IS,1670380773
243,sao felix do xingu,-6.6447,-51.995,23.11,95,89,0.64,BR,1670380773
244,barra patuca,15.8,-84.2833,24.7,83,16,5.13,HN,1670380562
245,mweka,-4.85,21.5667,18.45,99,96,0.26,CD,1670380774
246,zhanaozen,43.3,52.8,-8.05,79,3,4.31,KZ,1670380775
247,ayan,56.45,138.1667,-15.21,61,64,7.26,RU,1670380776
248,agadir,30.4202,-9.5982,15.25,69,63,3.48,MA,1670380776
249,mersing,2.4312,103.8405,28.95,74,20,3.6,MY,1670380777
250,port-cartier,50.0334,-66.8654,2.12,97,100,2.91,CA,1670380557
251,kampong cham,11.9934,105.4635,27.1,71,100,7.34,KH,1670380778
252,geraldton,-28.7667,114.6,33.23,24,0,8.23,AU,1670380778
253,takoradi,4.8845,-1.7554,25.58,88,96,3.21,GH,1670380779
254,wajir,1.7471,40.0573,24.66,75,26,3.45,KE,1670380779
255,cherskiy,68.75,161.3,-25.99,98,100,4.61,RU,1670380780
256,chapais,49.7834,-74.8492,-5.12,97,96,2.06,CA,1670380780
257,netanya,32.3329,34.8599,15.12,76,32,1.58,IL,1670380781
258,san juan,-31.5375,-68.5364,27.35,34,13,3.37,AR,1670380781
259,bam,29.106,58.357,9.3,51,1,0.42,IR,1670380727
260,palmer,42.1584,-72.3287,12.36,83,100,2.06,US,1670380782
261,qurayyat,31.3318,37.3428,8.1,87,40,2.57,SA,1670380783
262,kununurra,-15.7667,128.7333,33.99,55,94,2.06,AU,1670380576
263,along,28.1667,94.7667,18.61,45,0,0.14,IN,1670380767
264,pontes e lacerda,-15.2261,-59.3353,22.05,95,93,0.54,BR,1670380784
265,trinidad,-14.8333,-64.9,22.86,96,100,1.32,BO,1670380784
266,jacmel,18.2342,-72.5347,24.91,72,12,2.42,HT,1670380784
267,charters towers,-20.1,146.2667,35.94,21,4,4.4,AU,1670380785
268,manokwari,-0.8667,134.0833,28.4,70,79,3.11,ID,1670380576
269,portobelo,9.55,-79.65,24.42,79,25,5.58,PA,1670380786
270,korla,41.7597,86.1469,-2.69,41,88,0.6,CN,1670380786
271,pevek,69.7008,170.3133,-19.83,100,91,0.79,RU,1670380787
272,hofn,64.2539,-15.2082,0.46,61,7,4.52,IS,1670380787
273,sedlcany,49.6606,14.4266,3.1,49,96,4.22,CZ,1670380788
274,imeni poliny osipenko,52.4201,136.4853,-17.83,78,31,2.56,RU,1670380788
275,mandera,3.9366,41.867,25.56,72,64,4.22,KE,1670380789
276,harlingen,26.1906,-97.6961,23.36,95,0,6.17,US,1670380789
277,pervomayskoye,43.919,46.7102,1.23,76,99,6.85,RU,1670380790
278,hanzhong,33.0728,107.0303,8.28,56,85,0.47,CN,1670380790
279,marsa matruh,31.3525,27.2453,15.09,76,98,3.53,EG,1670380791
280,husavik,66.0449,-17.3389,-2.45,92,85,1.16,IS,1670380791
281,fonte boa,-2.4959,-66.2662,22.83,98,99,0.33,BR,1670380792
282,marawi,7.9986,124.2928,26.36,67,98,2.45,PH,1670380792
283,shellbrook,53.2168,-106.4011,-33.43,96,11,2.29,CA,1670380793
284,cabo san lucas,22.8909,-109.9124,26.17,73,0,2.06,MX,1670380793
285,berekum,7.4534,-2.584,21.22,87,16,1.88,GH,1670380794
286,biabou,13.2,-61.1333,25.65,74,92,3.39,VC,1670380794
287,sitka,57.0531,-135.33,4.94,87,100,3.6,US,1670380549
288,marzuq,14.4,46.4667,14.59,76,9,1.57,YE,1670380795
289,nara,34.6851,135.8049,11.09,44,97,4.95,JP,1670380714
290,yerbogachen,61.2767,108.0108,-11.68,91,100,6.77,RU,1670380796
291,oktyabrskoye,43.0645,44.7417,-4.92,100,49,4.0,RU,1670380797
292,yamada,39.4667,141.95,6.38,68,68,2.84,JP,1670380797
293,katangli,51.7102,143.2326,-12.53,77,100,3.15,RU,1670380797
294,kandrian,-6.2167,149.55,29.26,72,100,2.42,PG,1670380798
295,bom jardim,-7.7958,-35.5872,21.22,89,10,1.29,BR,1670380798
296,port blair,11.6667,92.75,27.02,83,100,4.12,IN,1670380537
297,asilah,35.465,-6.0348,13.98,83,100,2.94,MA,1670380799
298,kavieng,-2.5744,150.7967,28.49,74,92,4.63,PG,1670380552
299,omboue,-1.5746,9.2618,23.14,93,100,2.22,GA,1670380800
300,north platte,41.1239,-100.7654,1.32,58,0,0.45,US,1670380801
301,lavrentiya,65.5833,-171.0,-6.64,76,100,3.78,RU,1670380801
302,nouadhibou,20.931,-17.0347,18.95,81,63,5.72,MR,1670380802
303,ulladulla,-35.35,150.4667,27.36,33,60,4.32,AU,1670380802
304,prijepolje,43.3719,19.6406,7.76,94,100,1.1,RS,1670380803
305,celestun,20.8667,-90.4,24.4,77,39,6.89,MX,1670380804
306,zhigansk,66.7697,123.3711,-28.41,94,100,9.06,RU,1670380805
307,bereda,43.2686,-7.5406,9.12,100,100,0.94,ES,1670380806
308,lagoa,39.05,-27.9833,14.47,78,98,15.87,PT,1670380806
309,saint-pierre,-21.3393,55.4781,24.95,78,0,9.77,RE,1670380807
310,half moon bay,37.4636,-122.4286,11.68,87,20,0.0,US,1670380808
311,olafsvik,64.8945,-23.7142,4.01,76,92,3.07,IS,1670380808
312,xinqing,48.2333,129.5,-10.94,83,100,3.25,CN,1670380809
313,sao paulo de olivenca,-3.3783,-68.8725,21.61,99,100,1.26,BR,1670380810
314,saint george,37.1041,-113.5841,9.97,77,40,1.79,US,1670380619
315,port keats,-14.25,129.55,33.29,50,14,4.77,AU,1670380811
316,livingstonia,-10.606,34.1063,18.63,75,87,1.42,MW,1670380811
317,san carlos de bariloche,-41.1456,-71.3082,11.86,62,20,2.57,AR,1670380812
318,pacific grove,36.6177,-121.9166,10.29,87,20,0.45,US,1670380544
319,flinders,-34.5833,150.8552,27.25,55,86,1.79,AU,1670380813
320,bowen,-20.0167,148.2333,28.42,56,5,4.24,AU,1670380814
321,delta del tigre,-34.7633,-56.3853,26.61,46,0,5.26,UY,1670380814
322,faya,18.3851,42.4509,11.29,71,0,1.37,SA,1670380815
323,krasnyye chetai,55.6887,46.1386,-14.44,88,79,2.68,RU,1670380816
324,maniitsoq,65.4167,-52.9,0.49,91,100,10.54,GL,1670380817
325,kotel,42.8833,26.45,3.75,94,84,1.14,BG,1670380817
326,riyadh,24.6877,46.7219,17.08,42,2,1.08,SA,1670380557
327,immokalee,26.4187,-81.4173,22.97,87,20,0.0,US,1670380682
328,phalombe,-15.8064,35.6507,20.72,82,70,1.41,MW,1670380819
329,mangrol,21.1167,70.1167,21.44,48,0,4.36,IN,1670380819
330,college,64.8569,-147.8028,-10.52,89,100,0.0,US,1670380770
331,yerkoy,39.6381,34.4672,2.56,79,1,1.29,TR,1670380820
332,dukat,62.55,155.55,-31.54,92,8,0.93,RU,1670380821
333,ketchikan,55.3422,-131.6461,3.99,98,100,2.89,US,1670380525
334,dolores,-36.3132,-57.6792,18.97,67,53,3.13,AR,1670380822
335,coahuayana,18.7333,-103.6833,24.27,90,38,0.73,MX,1670380823
336,saldanha,-33.0117,17.9442,10.03,84,0,1.58,ZA,1670380824
337,guhagar,17.4842,73.1929,25.34,48,1,2.26,IN,1670380824
338,funtua,11.5233,7.3081,16.99,31,96,4.24,NG,1670380825
339,newport,51.5877,-2.9984,3.4,69,19,3.38,GB,1670380826
340,lipin bor,60.2622,37.9763,-5.42,81,100,6.02,RU,1670380826
341,ferkessedougou,9.6,-5.2,23.98,35,7,1.35,CI,1670380828
342,dongning,44.0622,131.1207,-3.68,51,4,6.12,CN,1670380828
343,shahpura,27.3833,75.9667,16.34,30,0,1.07,IN,1670380829
344,kuntaur,13.6667,-14.8833,26.82,39,7,2.89,GM,1670380829
345,kauhajoki,62.4333,22.1833,-8.01,92,86,1.83,FI,1670380830
346,fare,-16.7,-151.0167,26.8,75,24,8.03,PF,1670380831
347,monrovia,6.3005,-10.7969,25.54,85,30,2.21,LR,1670380655
348,elmadag,39.9208,33.2308,1.3,82,11,0.96,TR,1670380832
349,caraballeda,10.6112,-66.8522,28.04,78,40,1.03,VE,1670380833
350,taywarah,33.35,64.4167,-1.34,87,98,1.5,AF,1670380834
351,roald,62.5833,6.1333,2.64,80,75,6.69,NO,1670380834
352,westport,41.1415,-73.3579,13.76,88,100,1.34,US,1670380835
353,zafra,38.4167,-6.4167,7.99,94,57,1.44,ES,1670380835
354,bilibino,68.0546,166.4372,-25.16,100,100,1.71,RU,1670380836
355,jakar,27.5492,90.7525,10.6,50,5,1.33,BT,1670380836
356,kuching,1.55,110.3333,30.16,83,40,1.54,MY,1670380548
357,opunake,-39.4556,173.8583,20.47,67,100,9.05,NZ,1670380837
358,abu dhabi,24.4667,54.3667,22.01,85,0,1.54,AE,1670380733
359,soeng sang,14.4264,102.4606,23.46,75,43,2.91,TH,1670380838
